index,program_name,category
2269,"Entrepreneurship, Marketing, And Strategic Management",Marketing and Economics
2270,Science And Mathematics,Mathematics and Finance
2271,Isep,Engineering 
2272,Biodesign,Molecular and Biological Sciences
2273,Fashion Marketing,Marketing and Economics
2274,Reinforcement Learning/computational Neuroscience,Philosophy and Cognitive Studies
2275,Computational Neuroscience,Molecular and Biological Sciences
2276,Information Management And Systems,Information and Data Management
2277,Medical Imaging Using,General Sciences
2278,Statistical Machine Learning,Information and Data Management
2279,Science And Math Track,Mathematics and Finance
2280,Control Systems Specialist Electrical And Electronics Engineering,Engineering 
2281,Fellowship,General Sciences
2282,Middle East Studies,Cultural and Regional Studies
2283,Global Management,International Business and Finance
2284,"International Relations, Government And Politics",Law and International Relations
2285,Biology/biochemistry,Molecular and Biological Sciences
2286,Joint Degree Law And Business,Law and International Relations
2287,"Design And Visual Communications, General",Software and Computer Engineering
2288,Communications Design,Engineering 
2289,Op 1/ Atar 9955,Information and Data Management
2290,Eletrical Engineering And Mathematics,Engineering 
2291,Honours Systems Design Engineering Engineering,Engineering 
2292,Graphic Communications,Software and Computer Engineering
2293,Fashion Design,Engineering 
2294,Transfer Studies,Cultural and Regional Studies
2295,English And Philosophy,Philosophy and Cognitive Studies
2296,"Artificial Intelligence, Networking",Engineering 
2297,"Economics, Mathematics, Computer Science",Mathematics and Finance
2298,Bsc Hons In Computer Science,Software and Computer Engineering
2299,Business Administration : Banking And Finance Concentration,Banking and Finance Specialization
2300,Computer Science And Informatics,Software and Computer Engineering
2301,Engineer Of Media Communications,Engineering 
2302,Health Care Management / Entrepreneurship,International Business and Finance
2303,"Aerospace Controls, Aeronautics And Astronautics",Engineering 
2304,Visual Programming,Software and Computer Engineering
2305,Mobile App Development,Software and Computer Engineering
2306,Interdisciplinary,General Sciences
2307,Appiled Economics And Management,Marketing and Economics
2308,Communications And Political Science,History and Social Sciences
2309,Quantitative Finance,Mathematics and Finance
2310,Pharmacological Sciences,Molecular and Biological Sciences
2311,"Marketing, International Business, Human Resource Management",International Business and Finance
2312,Behavioural Science,General Sciences
2313,"Marketing, Management",Marketing and Economics
2314,"Finance, Technology, Entrepreneurship, And Design",Mathematics and Finance
2315,"Computer Science, Mathematical Science",Software and Computer Engineering
2316,Business And Innovation,Marketing and Economics
2317,Environmental Technology And Resource Management,Sustainable Energy Engineering
2318,Environomical Pathways For Sustainable Energy Systems,Sustainable Energy Engineering
2319,Strategic Management For Leaders Of Non,Marketing and Economics
2320,Econometrics And Operational Research,Marketing and Economics
2321,International Business Administration,International Business and Finance
2322,Supply Chain Management,Marketing and Economics
2323,Structural Engineering And Architectural History Architecture,Engineering 
2324,"Computer Science, Music Composition",Software and Computer Engineering
2325,"Entrepreneurship, Finance, Business Management",International Business and Finance
2326,Biomechanical Engineering,Engineering 
2327,Space Systems Engineering,Engineering 
2328,"Physics, Mathematics, Chemistry",Mathematics and Finance
2329,"Accounting, Marketing",Marketing and Economics
2330,"Communication, Media Studies",Cultural and Regional Studies
2331,"History, Gender Studies",History and Social Sciences
2332,Aeronautical Sciences And Management,Engineering 
2333,"Applied And Computational Mathematics, Minor In Computer Science",Software and Computer Engineering
2334,International Trade And Economics,International Business and Finance
2335,Philosophy And Chinese Studies,Philosophy and Cognitive Studies
2336,"Visiting Scholar, Robotics, Systems And Control",History and Social Sciences
2337,Technology Leadership,Engineering 
2338,"Molecular Biology And Genetics, Honors",Molecular and Biological Sciences
2339,Experimental Nuclear And Particle Physics,Molecular and Biological Sciences
2340,"School Of Mathematics And Mechanics, Computer Science Department",Software and Computer Engineering
2341,Applied Math/economics,Mathematics and Finance
2342,"Double Major In Research Psychology, Neuroscience And Behavior",Psychology and Counseling
2343,Computational And Systems Biology,Molecular and Biological Sciences
2344,"Management Information Systems, Marketing",Marketing and Economics
2345,Multimedia And Animation,Software and Computer Engineering
2346,Economics And Government,Marketing and Economics
2347,"Computers, Engineer",Engineering 
2348,Health Care Management,Information and Data Management
2349,Hci,Engineering 
2350,Calming Technologies,Psychology and Counseling
2351,"Master's Degree In Engineering, Business Engineering, Information Systems And Networks",Software and Computer Engineering
2352,Compter Sciences,General Sciences
2353,Information Systems Management And Finance,Information and Data Management
2354,"Honours In Finance, Information Systems Management",Mathematics and Finance
2355,Strategy And Management,Marketing and Economics
2356,Self,Psychology and Counseling
2357,Pediatrics,General Sciences
2358,Chemical Eng,Engineering 
2359,"Finance, Strategy And Operations",Mathematics and Finance
2360,"Computer Engineering, Cs Minor",Software and Computer Engineering
2361,Biochemistry With Vocational Biotechnology,Molecular and Biological Sciences
2362,Bsc Finance,Banking and Finance Specialization
2363,Minor In Film And Multimedia,Cultural and Regional Studies
2364,System And Network Administration,Software and Computer Engineering
2365,Mis And Starcraft,Software and Computer Engineering
2366,"Computer Science, Business",Software and Computer Engineering
2367,Computer Science And Cognitive Science,Software and Computer Engineering
2368,Exchange Business Administration,International Business and Finance
2369,Econometrics And Mathematical Economics,Mathematics and Finance
2370,컴퓨터 공학,Engineering 
2371,소프트웨어특성화,Engineering 
2372,Software And Computer Engineering,Software and Computer Engineering
2373,Biological And Machinery Systems Engineering,Engineering 
2374,"Engineering Mechanics, Computational Fluid Dynamics",Engineering 
2375,Mechanical Engineering And Automation,Engineering 
2376,Russian Translator And Interpreter,Cultural and Regional Studies
2377,Earth Sciences And Music,General Sciences
2378,"Digital Signal Processing, Pattern Recognition",Software and Computer Engineering
2379,"Music Technology, Machine Listening, Music Information Retrieval",Information and Data Management
2380,"Electrical Engineering, Digital Signal Processing, Electronic Design",Engineering 
2381,Operations And Systems Engineering,Software and Computer Engineering
2382,Communication Systems,Information and Data Management
2383,General Science,General Sciences
2384,Triple Major: International Relations,Law and International Relations
2385,Strategy And Leadership,Marketing and Economics
2386,"Computer Science, Operations Management",Software and Computer Engineering
2387,"Management Science And Engineering, Technology And Engineering Management",Engineering 
2388,Biomedical Sciences,Molecular and Biological Sciences
2389,Communication Systems Engineering,Engineering 
2390,1989,History and Social Sciences
2391,"Strategy, Marketing, Finance",Marketing and Economics
2392,"Computer Engineering, Math, Music, Cognitive Psychology",Software and Computer Engineering
2393,Energy Management And Systems Technology,Sustainable Energy Engineering
2394,"Mechanical Engineering And Aeronautical Engineering, Computer Science",Engineering 
2395,Mechanical Eng,Engineering 
2396,Computer Science And Public Policy,Software and Computer Engineering
2397,Ios App Development,Software and Computer Engineering
2398,Ios Development,Software and Computer Engineering
2399,"Finance, Strategy And Management Consulting",Mathematics and Finance
2400,"Networked And Social Systems Engineering, Computer Science",Software and Computer Engineering
2401,Medical Sciences And Psychology,Psychology and Counseling
2402,"Technology, Innovation, Education",Engineering 
